MF & 1.167 $\pm$ 0.001 & 1.951 $\pm$ 0.001 & 0.913 $\pm$ 0.001 & 1.319 $\pm$ 0.001 & 0.609 $\pm$ 0.001 & 0.719 $\pm$ 0.001 & 0.604 $\pm$ 0.001 & 0.695 $\pm$ 0.001 \\
NFM & 1.064 $\pm$ 0.001 & 1.586 $\pm$ 0.001 & 0.917 $\pm$ 0.001 & 1.299 $\pm$ 0.001 & 0.571 $\pm$ 0.001 & 0.656 $\pm$ 0.001 & 0.587 $\pm$ 0.001 & 0.657 $\pm$ 0.001 \\
\midrule
CPT-V & 0.914 $\pm$ 0.001 & 1.181 $\pm$ 0.001 & 0.961 $\pm$ 0.001 & 1.512 $\pm$ 0.001 & 0.798 $\pm$ 0.001 & 0.968 $\pm$ 0.001 & 0.775 $\pm$ 0.001 & 1.069 $\pm$ 0.001 \\
PMF-MNAR & 1.190 $\pm$ 0.001 & 2.243 $\pm$ 0.001 & 0.899 $\pm$ 0.001 & 1.279 $\pm$ 0.001 & 0.595 $\pm$ 0.001 & 0.714 $\pm$ 0.001 & 0.601 $\pm$ 0.001 & 0.691 $\pm$ 0.001 \\
MF-IPS & 0.863 $\pm$ 0.001 & 1.056 $\pm$ 0.001 & 0.890 $\pm$ 0.001 & 1.167 $\pm$ 0.001 & 0.635 $\pm$ 0.001 & 0.730 $\pm$ 0.001 & 0.625 $\pm$ 0.001 & 0.700 $\pm$ 0.001 \\
NFM-IPS & 0.852 $\pm$ 0.001 & 1.046 $\pm$ 0.001 & 0.862 $\pm$ 0.001 & 1.137 $\pm$ 0.001 & 0.582 $\pm$ 0.001 & 0.672 $\pm$ 0.001 & 0.591 $\pm$ 0.001 & 0.662 $\pm$ 0.001 \\
MF-DR & 0.798 $\pm$ 0.001 & 1.033 $\pm$ 0.001 & 0.806 $\pm$ 0.001 & 1.058 $\pm$ 0.001 & 0.589 $\pm$ 0.001 & 0.677 $\pm$ 0.001 & 0.601 $\pm$ 0.001 & 0.672 $\pm$ 0.001 \\
NFM-DR & 0.787 $\pm$ 0.001 & 1.024 $\pm$ 0.001 & 0.784 $\pm$ 0.001 & 1.033 $\pm$ 0.001 & 0.547 $\pm$ 0.001 & 0.612 $\pm$ 0.001 & 0.579 $\pm$ 0.001 & 0.630 $\pm$ 0.001 \\
\midrule
MF-IPS-NP & 0.832 $\pm$ 0.001 & 0.999 $\pm$ 0.001 & 0.826 $\pm$ 0.001 & 1.052 $\pm$ 0.001 & 0.600 $\pm$ 0.001 & 0.682 $\pm$ 0.001 & 0.604 $\pm$ 0.001 & 0.661 $\pm$ 0.001 \\
NFM-IPS-NP & 0.827 $\pm$ 0.001 & 0.992 $\pm$ 0.001 & 0.811 $\pm$ 0.001 & 1.041 $\pm$ 0.001 & 0.558 $\pm$ 0.001 & 0.634 $\pm$ 0.001 & 0.575 $\pm$ 0.001 & 0.629 $\pm$ 0.001 \\
MF-DR-NP & 0.781 $\pm$ 0.001 & 0.982 $\pm$ 0.001 & 0.770 $\pm$ 0.001 & 0.982 $\pm$ 0.001 & 0.572 $\pm$ 0.001 & 0.644 $\pm$ 0.001 & 0.588 $\pm$ 0.001 & 0.641 $\pm$ 0.001 \\
NFM-DR-NP & \textbf{0.776} $\pm$ 0.001 & \textbf{0.977} $\pm$ 0.001 & \textbf{0.759} $\pm$ 0.001 & \textbf{0.973} $\pm$ 0.001 & \textbf{0.539} $\pm$ 0.001 & \textbf{0.587} $\pm$ 0.001 & \textbf{0.572} $\pm$ 0.001 & \textbf{0.604} $\pm$ 0.001 \\
